symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs,variação
PETRM308,2022-11-21T00:00:00.000Z,"{'price': 26.78, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,36.27,8.81,EUROPEAN,43,ITM,-0.946653,0.0230015783805446,0.0120121975485366,-0.0031974375276649,-0.0594107943866551,42.675,96.32,9.4661,0.6561000000000003
PETRM460,2022-11-04T00:00:00.000Z,"{'price': 28.3, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,32.77,3.67,EUROPEAN,55,ITM,-1.0,0.0,0.0,0.0025894657200931,-0.0712103176604232,0.0,100.0,4.3273,0.6573000000000002
PETRM382,2022-11-21T00:00:00.000Z,"{'price': 26.78, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,38.27,10.7,EUROPEAN,43,ITM,-1.0,0.0,0.0,0.0030269538550704,-0.0650795381535525,0.0,100.0,11.3596,0.6596000000000011
PETRM422,2022-11-24T00:00:00.000Z,"{'price': 24.25, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,39.01,13.97,EUROPEAN,41,ITM,-1.0,0.0,0.0,0.0030859737555954,-0.0632623015190708,0.0,100.0,14.6333,0.6632999999999996
PETRM308,2022-11-07T00:00:00.000Z,"{'price': 27.15, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,36.27,8.3,EUROPEAN,53,ITM,-1.0,0.0,0.0,0.0028664886084687,-0.0759617818680821,0.0,100.0,8.9678,0.6677999999999997
PETRX462,2022-11-14T00:00:00.000Z,"{'price': 27.7, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,46.27,17.83,EUROPEAN,23,ITM,-0.992211,0.0038099066251963,0.0017915963809575,0.0010341911058418,-0.0419691051674133,67.149,99.56,18.4992,0.6692
PETRX302,2022-11-09T00:00:00.000Z,"{'price': 26.9, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,38.27,10.75,EUROPEAN,27,ITM,-0.940979,0.0208111401864076,0.0103544427396022,-0.0093900645106257,-0.0393567564835425,64.174,96.19,11.4206,0.6706000000000003
PETRX429,2022-11-10T00:00:00.000Z,"{'price': 26.12, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,36.27,9.83,EUROPEAN,26,ITM,-0.864168,0.0315157268162102,0.0182929873352128,-0.0263830637704381,-0.0341228405256445,82.459,91.37,10.5007,0.6707000000000001
PETRM255,2022-11-24T00:00:00.000Z,"{'price': 24.25, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,33.26,8.23,EUROPEAN,41,ITM,-1.0,0.0,0.0,0.002631107077957,-0.053937558280551,0.0,100.0,8.9019,0.671899999999999
PETRM352,2022-11-08T00:00:00.000Z,"{'price': 27.35, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,35.27,7.1,EUROPEAN,53,ITM,-0.999916,0.0001864284410589,4.214381018223995e-05,0.0027815653034546,-0.0738627124200794,14.369,99.99,7.772,0.6720000000000006
PETRX238,2022-11-09T00:00:00.000Z,"{'price': 26.9, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,32.77,5.69,EUROPEAN,27,ITM,-0.799984,0.0503692858749526,0.0246520724005931,-0.0266059475464816,-0.0298757706343626,63.128,85.27,6.3644,0.6743999999999994
PETRM247,2022-11-25T00:00:00.000Z,"{'price': 23.86, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,30.26,5.8,EUROPEAN,40,ITM,-0.903594,0.042357782833207,0.016241556237153,-0.0063895825082991,-0.0444993122282921,42.432,92.94,6.4748,0.6748000000000003
