symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs,variação
VALEW838,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,83.84,13.28,EUROPEAN,13,ITM,-1.0,0.0,0.0,0.006647106629077,-0.0432059404989486,0.0,100.0,14.5835,1.3035000000000014
VALEK718,2022-11-17T00:00:00.000Z,"{'price': 83.1, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,71.84,10.0,EUROPEAN,1,ITM,0.982142,0.0074996521086402,0.0023016713991125,-0.1344852320079115,0.0027899596731857,112.003,97.88,11.3045,1.3045000000000009
VALEX987,2022-11-28T00:00:00.000Z,"{'price': 81.3, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,95.41,13.54,EUROPEAN,13,ITM,-0.851538,0.0199617860417213,0.0427586734133527,-0.096640603665727,-0.0433732662071017,62.821,88.21,14.8479,1.3079
VALEX524,2022-11-22T00:00:00.000Z,"{'price': 80.14, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,147.91,66.96,EUROPEAN,18,ITM,-0.934463,0.0044031528209298,0.0273313523984786,-0.091362953610568,-0.102267508056349,135.308,96.94,68.2858,1.325800000000001
VALEX992,2022-11-08T00:00:00.000Z,"{'price': 74.05, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,95.91,20.86,EUROPEAN,28,ITM,-0.90695,0.0123849177280209,0.0410858814570438,-0.0328569704112853,-0.099277245544345,54.449,93.37,22.19,1.3300000000000018
VALEX867,2022-11-04T00:00:00.000Z,"{'price': 72.25, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,83.41,10.63,EUROPEAN,30,ITM,-0.814718,0.0253512276381469,0.0666048875973448,-0.0413103790406174,-0.0843143653417308,42.278,85.11,11.9605,1.330499999999999
VALEP12,2022-11-14T00:00:00.000Z,"{'price': 83.31, 'symbol': 'VALE3'}",PUT,2023-04-20T00:00:00.000Z,102.55,17.0,EUROPEAN,112,ITM,-1.0,0.0,0.0,0.0080668638673462,-0.4517439248270117,0.0,100.0,18.3325,1.3324999999999996
VALEM2,2022-11-18T00:00:00.000Z,"{'price': 80.83, 'symbol': 'VALE3'}",PUT,2023-01-20T00:00:00.000Z,101.41,18.86,EUROPEAN,45,ITM,-1.0,0.0,0.0,0.0080197197041983,-0.1804432602795996,0.0,100.0,20.2185,1.3584999999999994
VALEW906,2022-11-08T00:00:00.000Z,"{'price': 74.05, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,87.34,12.8,EUROPEAN,8,ITM,-0.836932,0.0214356691547756,0.0325019782118108,-0.1708966986923758,-0.0241696534125859,87.103,87.23,14.1597,1.3597000000000001
VALEX997,2022-11-04T00:00:00.000Z,"{'price': 72.25, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,96.41,22.56,EUROPEAN,30,ITM,-1.0,0.0,0.0,0.0076333908493943,-0.1145012291436765,0.0,100.0,23.9307,1.370700000000003
VALEX962,2022-11-09T00:00:00.000Z,"{'price': 73.15, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,92.91,18.19,EUROPEAN,27,ITM,-1.0,0.0,0.0,0.007358025399957,-0.0993334753438768,0.0,100.0,19.5611,1.3710999999999984
VALEX907,2022-11-09T00:00:00.000Z,"{'price': 73.15, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,87.41,12.7,EUROPEAN,27,ITM,-1.0,0.0,0.0,0.0069224518373721,-0.0934532244086565,0.0,100.0,14.0729,1.3729000000000013
VALEW911,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,87.84,17.54,EUROPEAN,13,ITM,-0.924463,0.0130965917406127,0.0223603325707931,-0.0529139888984369,-0.0427506122213779,69.174,94.44,18.9258,1.3857999999999997
VALEX100,2022-11-04T00:00:00.000Z,"{'price': 72.25, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,96.91,23.01,EUROPEAN,30,ITM,-1.0,0.0,0.0,0.0076729790189275,-0.1150950535869068,0.0,100.0,24.4295,1.4194999999999993
VALEM89,2022-11-29T00:00:00.000Z,"{'price': 84.44, 'symbol': 'VALE3'}",PUT,2023-01-20T00:00:00.000Z,103.41,17.23,EUROPEAN,38,ITM,-1.0,0.0,0.0,0.0081824283858153,-0.1554664993573407,0.0,100.0,18.6586,1.4285999999999994
VALEN990,2022-11-10T00:00:00.000Z,"{'price': 74.55, 'symbol': 'VALE3'}",PUT,2023-02-17T00:00:00.000Z,95.66,19.45,EUROPEAN,71,ITM,-0.934465,0.0111444302161039,0.050493725208069,-0.0031028413197343,-0.2551106549709265,28.935,95.19,20.882,1.4320000000000022
VALEW893,2022-11-08T00:00:00.000Z,"{'price': 74.05, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,89.34,14.5,EUROPEAN,8,ITM,-0.870097,0.0183843481928294,0.0278962899827241,-0.145601700852785,-0.0255125199281865,87.168,90.01,15.9338,1.4337999999999997
VALEX952,2022-11-29T00:00:00.000Z,"{'price': 84.44, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,91.91,6.76,EUROPEAN,13,ITM,-0.799822,0.0351837226219322,0.0537217405786072,-0.0797600595397494,-0.0390841815116487,41.512,82.52,8.2267,1.4666999999999994
VALEX972,2022-11-04T00:00:00.000Z,"{'price': 72.25, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,93.91,20.0,EUROPEAN,30,ITM,-0.988128,0.0038198382231879,0.0077139239986684,0.0031920477992997,-0.1105491744691724,32.496,99.12,21.4688,1.4688000000000017
VALEL692,2022-11-17T00:00:00.000Z,"{'price': 83.1, 'symbol': 'VALE3'}",CALL,2022-12-16T00:00:00.000Z,65.91,15.83,EUROPEAN,21,ITM,1.0,0.0,0.0,-0.0052222414229761,0.0548333156071099,0.0,100.0,17.2998,1.469800000000001
VALEX824,2022-11-07T00:00:00.000Z,"{'price': 71.87, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,82.41,9.99,EUROPEAN,28,ITM,-0.799147,0.026466601926514,0.0672410592461118,-0.0476848526413528,-0.0765594471268298,44.267,83.8,11.4689,1.4788999999999994
VALEX104,2022-11-24T00:00:00.000Z,"{'price': 81.45, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,100.91,18.84,EUROPEAN,16,ITM,-0.8576509999999999,0.0150726672993427,0.0461987203308269,-0.0978974045821756,-0.05726520187621,72.768,89.49,20.3371,1.4970999999999997
VALEX843,2022-11-18T00:00:00.000Z,"{'price': 80.83, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,108.91,26.41,EUROPEAN,20,ITM,-1.0,0.0,0.0,0.008629941609918,-0.0862993297997647,0.0,100.0,27.9073,1.4972999999999992
VALEX496,2022-11-22T00:00:00.000Z,"{'price': 80.14, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,146.91,65.05,EUROPEAN,18,ITM,-1.0,0.0,0.0,0.0116428791389525,-0.104786540966046,0.0,100.0,66.5603,1.5103000000000009
VALEX11,2022-11-28T00:00:00.000Z,"{'price': 81.3, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,94.91,13.01,EUROPEAN,13,ITM,-0.828547,0.0208341419743272,0.0469826527462705,-0.1130091222921828,-0.042260878219571,66.136,86.4,14.5607,1.5507000000000009
VALEX927,2022-11-07T00:00:00.000Z,"{'price': 71.87, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,89.41,15.9,EUROPEAN,28,ITM,-0.96495,0.0093076687991369,0.0185328680668923,-0.0045925046161639,-0.0964479775601537,34.694,97.3,17.4523,1.5523000000000007
VALEX937,2022-11-04T00:00:00.000Z,"{'price': 72.25, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,90.41,16.48,EUROPEAN,30,ITM,-0.96992,0.0082405827886891,0.0169993506113366,-0.0024117340746967,-0.104898508953439,33.195,97.69,18.0377,1.5577000000000005
VALEK468,2022-11-11T00:00:00.000Z,"{'price': 82.3, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,46.84,33.92,EUROPEAN,5,ITM,1.0,0.0,0.0,-0.0037159854475054,0.0092898372752583,0.0,100.0,35.4786,1.5585999999999984
VALEA479,2022-11-11T00:00:00.000Z,"{'price': 82.3, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,47.91,33.02,EUROPEAN,50,ITM,1.0,0.0,0.0,-0.0037873220147938,0.0946831942880837,0.0,100.0,34.5797,1.5596999999999994
VALEM989,2022-11-29T00:00:00.000Z,"{'price': 84.44, 'symbol': 'VALE3'}",PUT,2023-01-20T00:00:00.000Z,98.91,12.72,EUROPEAN,38,ITM,-0.960055,0.011790683069308,0.0282249007300268,-0.0007008536807265,-0.1437870748045547,22.265,96.7,14.2863,1.5663
VALEX912,2022-11-04T00:00:00.000Z,"{'price': 72.25, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,87.91,14.85,EUROPEAN,30,ITM,-0.84344,0.0187929454626636,0.0597956246053713,-0.0448867433552023,-0.0920926491819569,51.201,88.21,16.419,1.5690000000000008
VALEX872,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,83.91,12.95,EUROPEAN,33,ITM,-1.0,0.0,0.0,0.0066421050704297,-0.1095944148410471,4.973,100.0,14.5205,1.570500000000001
