symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs
PETRA610,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,50.77,0.07,AMERICAN,58,OTM,0.026323,0.008021140482619172,0.008741872252547845,-0.004059098977889516,0.0016479519242771589,53.108,1.42,0.07
PETRA620,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,51.77,0.06,AMERICAN,58,OTM,0.022816,0.007065336834497099,0.007753426419062983,-0.003623590047555268,0.0014300336343347072,53.475,1.21,0.06
PETRA630,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,52.77,0.04,AMERICAN,58,OTM,0.016227,0.005437408235341877,0.005803752825768933,-0.0026375957316044953,0.0010231522445672977,52.013,0.85,0.04
PETRA640,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,53.77,0.09,AMERICAN,58,OTM,0.029811,0.007875256500438013,0.009696367120447788,-0.005078694775566153,0.0018416625438842104,59.998,1.5,0.09
PETRA650,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,54.77,0.04,AMERICAN,58,OTM,0.015527,0.004965018509975997,0.005588300284673104,-0.0026758656726395542,0.0009750984726277728,54.847,0.78,0.04
PETRA750,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,64.77,0.01,AMERICAN,58,OTM,0.004198,0.0014932258165582459,0.0017720398493054673,-0.0008925500413539879,0.00026546854156921725,57.828,0.18,0.01
PETRB155,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-02-17T00:00:00.000Z,15.52,14.6,EUROPEAN,78,ITM,0.969144,0.0058988671790790636,0.011569994339588704,-0.006409059066578605,0.04438155823633144,71.071,92.96,14.6
PETRB235,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-02-17T00:00:00.000Z,24.27,7.0,AMERICAN,78,ITM,0.797385,0.02983177063990424,0.046872547926791096,-0.01844054636346899,0.052030714342007726,56.933,69.69,7.0
PETRB310,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-02-17T00:00:00.000Z,31.02,2.42,EUROPEAN,78,ATM,0.494116,0.05604671469251533,0.0662673975830284,-0.0191780547088108,0.03817769199427141,42.843,40.01,2.42
PETRB321,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-02-17T00:00:00.000Z,26.02,5.63,EUROPEAN,78,ITM,0.737885,0.03716437694894063,0.05411031482492165,-0.01960114273933875,0.050771920214909665,52.757,63.43,5.63
PETRB333,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-02-17T00:00:00.000Z,34.02,1.41,EUROPEAN,78,OTM,0.340759,0.052198170321903596,0.06092213528697972,-0.017211307394946043,0.027129941725622733,42.291,25.92,1.41
PETRB351,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-02-17T00:00:00.000Z,28.52,4.0,EUROPEAN,78,ATM,0.628138,0.046015435912405526,0.0628257703146532,-0.02109498058215998,0.045674051087884485,49.472,52.06,4.0
PETRB365,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-02-17T00:00:00.000Z,36.52,0.85,EUROPEAN,78,OTM,0.234188,0.04427286887463728,0.050953094849275044,-0.014108393337443048,0.019013640755859474,41.702,16.93,0.85
PETRB401,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-02-17T00:00:00.000Z,33.52,1.63,EUROPEAN,78,OTM,0.37108,0.05209911797226257,0.06278324212134798,-0.018323536286213634,0.029251370633719628,43.666,28.37,1.63
PETRB560,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-02-17T00:00:00.000Z,56.02,0.05,EUROPEAN,78,OTM,0.0181,0.005341598308612247,0.007388941335270171,-0.002412998254873775,0.001518013215098644,50.123,0.88,0.05
PETRC289,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-03-17T00:00:00.000Z,30.02,4.2,EUROPEAN,98,ATM,0.57252,0.037353585290831895,0.07305626615711037,-0.022047731173360716,0.05014898379499681,56.405,43.29,4.2
PETRC306,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-03-17T00:00:00.000Z,32.52,2.58,EUROPEAN,98,OTM,0.45486,0.04477885050670149,0.07381097464896491,-0.018775427861639896,0.04278600931198873,47.538,34.1,2.58
PETRC329,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-03-17T00:00:00.000Z,33.02,2.18,EUROPEAN,98,OTM,0.421649,0.047409471328464445,0.07284957323188004,-0.017297507855479427,0.04048499020492621,44.316,31.77,2.18
PETRD303,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2024-04-19T00:00:00.000Z,19.76,12.8,AMERICAN,383,ITM,0.845247,0.012577553007390038,0.08762607311518618,-0.006868401950029432,0.1890539660664492,51.411,64.89,12.8
PETRD32,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2024-04-19T00:00:00.000Z,32.26,5.97,AMERICAN,383,OTM,0.576064,0.02370863228107742,0.1441810156864347,-0.009338383047150359,0.1706971757842373,44.877,35.89,5.97
PETRD374,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-04-20T00:00:00.000Z,30.77,3.7,AMERICAN,122,ATM,0.542215,0.039793414038167205,0.08242127324695481,-0.01719965835113084,0.060470084202476924,47.983,40.99,3.7
